No.,Time,Source,Destination,Protocol,Length,Info
8748,20.144821,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8798,20.232527,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8818,20.246899,104.198.218.190,10.1.10.11,TLSv1.2,274,Application Data
8869,20.293993,104.198.218.190,10.1.10.11,TLSv1.2,132,Application Data
8896,20.313016,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
8919,20.340456,104.198.218.190,10.1.10.11,TLSv1.2,356,"Application Data, Application Data"
8981,20.40214,104.198.218.190,10.1.10.11,TLSv1.2,274,Application Data
8989,20.403202,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9023,20.448909,104.198.218.190,10.1.10.11,TLSv1.2,139,Application Data
9063,20.483343,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9072,20.510017,104.198.218.190,10.1.10.11,TLSv1.2,282,Application Data
9093,20.557101,104.198.218.190,10.1.10.11,TLSv1.2,129,Application Data
9106,20.572849,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9151,20.662446,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9153,20.668975,104.198.218.190,10.1.10.11,TLSv1.2,288,Application Data
9171,20.714301,104.198.218.190,10.1.10.11,TLSv1.2,426,"Application Data, Application Data, Application Data"
9190,20.743357,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9235,20.833254,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9240,20.846736,104.198.218.190,10.1.10.11,TLSv1.2,291,Application Data
9258,20.892438,104.198.218.190,10.1.10.11,TLSv1.2,428,"Application Data, Application Data, Application Data"
9271,20.917928,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9279,20.936282,104.198.218.190,10.1.10.11,TLSv1.2,678,"Application Data, Application Data, Application Data, Application Data"
9317,21.002595,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9322,21.01466,104.198.218.190,10.1.10.11,TLSv1.2,291,Application Data
9343,21.063862,104.198.218.190,10.1.10.11,TLSv1.2,129,Application Data
9359,21.084861,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9369,21.108899,104.198.218.190,10.1.10.11,TLSv1.2,687,"Application Data, Application Data, Application Data, Application Data"
9395,21.172499,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9428,21.253538,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9432,21.267588,104.198.218.190,10.1.10.11,TLSv1.2,291,Application Data
9446,21.310767,104.198.218.190,10.1.10.11,TLSv1.2,130,Application Data
9462,21.342858,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9493,21.422888,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9527,21.51276,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9559,21.592919,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9594,21.682671,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9625,21.762955,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9654,21.858574,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9656,21.866072,104.198.218.190,10.1.10.11,TLSv1.2,306,Application Data
9683,21.949617,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9704,22.026445,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9734,22.113792,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9738,22.136662,104.198.218.190,10.1.10.11,TLSv1.2,306,Application Data
9762,22.180251,104.198.218.190,10.1.10.11,TLSv1.2,122,Application Data
9773,22.197795,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9804,22.282814,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9832,22.362959,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
9835,22.364011,104.198.218.190,10.1.10.11,TLSv1.2,306,Application Data
